user_screen_name,text,ideology_score,vader_sentiment,vader_sentiment_raw,bert_stance
a_trochemoche,"RT @Vegdelanoche: #WomensMarch


Ira y alegría.Repudio a Trump X David Brooks


 “tomo este horror para despertarnos a chingadazos”,Madona


http…",-1.75896513156008,0.0,-0.5719,1
ladiiec_98,@womensmarch anyone have info on #WomensMarch in FL?!?,-1.4698377170363102,,0.0,1
nothankuuuuu,@SenSanders Yo Bernie!! 🙌 https://t.co/ALsEegxZRf,1.54518946903252,,0.0,1
lejoeaoun,RT @MileyMildrew: The best sign from yesterday. #WomensMarch https://t.co/w82HAd1rYU,0.9417541176393492,1.0,0.6369,1
Ffs_050,RT @HughDancyNet: Hugh Dancy at #WomensMarch  Yesterday. https://t.co/e99W1SoNBW,-0.0985480206664292,,0.0,1
Be_Back_Soon,"RT @KarenCivil: Janelle Monáe speaks at the #WomensMarch: ""It was woman... Don't you ever forget it."" https://t.co/L52gHXhqCJ",-0.13565359500761698,1.0,0.1695,1
DeereShopping,"RT @GetWisdomDude: 1.2 Million of Us At
#WomensMarch In DC Today.
Millions Across the World

Incredible Rooftop View
via @KerryGFleming
htt…",-1.62185538419223,,0.0,1
belalunaetsy,RT @womensmarch: It's finally here! Check out our March Map and remember to print it out and save it to your phone. #WomensMarch https://t.…,-2.04517471937092,1.0,0.5411,1
R_L_A_G,"Yeah, no on promoted #UnityMarch on January 13th but they promote #WomensMarch because it's assumed ""anti-Trump""...",0.3584641403404871,1.0,0.4086,0
GingerHenny,"RT @multayply: some of my favorite signs, these women really did THAT #WomensMarch https://t.co/fnhRuYEmlW",-1.24432956496274,1.0,0.4588,0
emilythomas2003,RT @ArianaGrande: too. much. sauce. #nonna #womensmarch #queen #QM https://t.co/BxlDIudKxN,-0.418624665078908,,0.0,1
jisy06,RT @SophiaBush: #Resist womensmarch https://t.co/nAL1l6jjC5,-1.30292179118737,,0.0,1
demeralda,RT @MissJupiter1957: 1 arrest at #WomensMarch #STL for allegedly stepping in street. https://t.co/Q6b3e2v3V1,-1.0607134426527098,0.0,-0.34,0
Tephywashere,"RT @Killingcrawdads: This is Nashville, TN. This is *not* a movement of coastal elites, just in case you missed the memo. #WomensMarch http…",-1.75111498356543,0.0,-0.296,1
Cynthia__Reed,Kudos to the leaders of @womensmarch for taking 'an uncompromising stance on the most urgent political matters of our time'. #TheResistance https://t.co/A4UZeUY7aa,-1.56141402869501,1.0,0.6962,1
thewildhare,RT @caitrionambalfe: #WomensMarch #Edinburgh https://t.co/x8cdwoZiAw,-1.75803173341816,,0.0,1
lazyzimms,RT @WeThePeopleFor: No kidding. #Ironic that #womenrights for #MuslimWomen or #Christian or #Unborn #Women don't seem to matter to #WomensM…,1.80232714413336,,0.0,0
lasramisteriosa,"RT @ponumurray: In 1913, Women Marched on Washington. This Month, They March Again @womensmarch @womensmarchct https://t.co/1G8vm6ptW6 #why…",-1.1653079706740102,,0.0,1
Timofei_Korolev,RT @JakeG_Online: Jake Gyllenhaal at the #WomensMarch https://t.co/gTn8fHA80v,-0.4978269457211599,,0.0,1
Nico2lette,RT @AnnaChap: Trump v Obama #Inauguration. There'll be millions more showing they DON'T want him on today's #WomensMarch. https://t.co/q8xe…,-1.27769807085294,0.0,-0.0572,1
ohbrien,"RT @ChrisEvans: If you don't understand what fight they're still facing, please reread you own tweet. You've demonstrated the issue flawles…",0.5063321685518211,1.0,0.5399,0
shamsunasir,"RT @mehdirhasan: So how many times bigger than yesterday's inauguration crowd will today's #WomensMarch in DC be, so we think? Bets?",0.437013872456772,,0.0,1
UberGuber,"RT @riotwomennn: ""The march organizers mention Winona LaDuke the Green Party VP candidate in 1996 and 2000 but not Hillary Clinton""  @lsars…",-1.52868373226147,1.0,0.2144,0
12sec317,RT @wsbtv: Cops high-fived marchers as they took to the streets of Atlanta today in solidarity with the #WomensMarch: https://t.co/88nZY7Xp…,0.238162340864089,1.0,0.296,1
nightabsence,#WomensMarch fight for whats right,0.90369714268192,0.0,-0.3818,1
1MyUniverse,RT @realmatbaynton: So inspired by and grateful to every single person taking part in #WomensMarch today. Hope after despair. Things can ge…,-0.9373817662307832,1.0,0.8279,1
lubilafdewali,RT @AceiledwithaKis: This! The Anthem of our March! #WhyIMarch #WomensMarch https://t.co/FcBzMgw0TG,-1.6299885126335,,0.0,1
Krys2549,"RT @DavidLammy: Solidarity with all those marching in London and across the world today. Don't mourn, organise. #WomensMarch #womensmarchlo…",-1.74060864764852,1.0,0.5472,1
guvaminthooka,"RT @HillaryClinton: 'Hope Not Fear'


Indeed. 


And what a beautiful piece by Louisa Cannell. 


#womensmarch 👊👊🏻👊🏼👊🏽✨ https://t.co/7h3Bzx79nB",-1.0315012678528,1.0,0.894,1
Mattwoodnyc3,"@womensmarch Shouldn't it be called "" The Women who love slaughtering babies"" March?


#WomensMarch #WomansMarch #NOW https://t.co/aYqa4z2Qcj",1.48009576939361,1.0,0.6369,0
shaneschurch,Parenting done right! #standupfightback #wmia #womensmarch https://t.co/6tTIf3K5v8,-1.90091643959931,,0.0,1
corpsebeetle,RT @TheIndyFilm: How Star Wars' Princess Leia became a potent symbol of resistance at #WomensMarch https://t.co/JgCV3v4nau https://t.co/mxC…,0.8003798962397759,0.0,-0.5574,1
TheOnlyZiko,RT @astroehlein: Women's rights are human rights - #WomensMarch https://t.co/RMqmtvdz7y,-0.421559752886445,,0.0,1
truemira,"RT @womensmarch: ""I joined the #WomensMarch because that will be no more. We will center those who have been the most marginalized and targ…",-2.05233652121702,0.0,-0.296,1
Vera_Pallada,RT @kayleighmcenany: Feminist movement clearly not into protecting the environment #WomensMarch https://t.co/MRwA0s87U4,2.23129319888976,1.0,0.4019,0
wittydawnuk,RT @NevSchulman: The future is bright. #HumanRights #EqualRights #WomensMarch https://t.co/xkuiHjPkEe,-0.0317312121265686,1.0,0.4404,1
Moxielocs6,RT @chescaleigh: this sign made me laugh @UzoAduba #WomensMarch https://t.co/y0UngwxNuS,-1.72838104594688,1.0,0.5574,1
TravelingUS,"RT @lloyd4wi: Sign from the march in Madison, WI today. #WomensMarch #SpicerFacts https://t.co/upfi4zDnqG",-1.65593644142286,,0.0,1
braunestahl,#womensmarch #neworleans https://t.co/ZjyETMfov1,-2.02079687833558,,0.0,1
MrTracy,RT @Christiana1987: I guess the elephant in the room is that there'd be no #womensmarch if all women voted for Hillary Clinton like black w…,-2.2993748192446204,1.0,0.0772,0
1defendyourself,"Kitten: Mentally reviewing my assertiveness, de-escalation, and #bystanderintervention strategies before heading out for the @womensmarch. https://t.co/LWDIXN6RSJ",-2.38888371846439,,0.0,1
bluebelllaura,RT @jimsyjampots: I filmed my way round #womensmarchlondon today. You can watch it at this link. It gives me hope for the future https://t.…,-1.2311452968362702,1.0,0.4404,1
aheartofviolet,"@DerekBlasberg my toddler, Violet and I marched in spirit in Australia. She is deserving of every right we fight for! #WomensMarch https://t.co/jXoGo7Ou2C",-1.24041969794704,0.0,-0.2942,1
bap31567,RT @AntonioFrench: The #WomensMarch in downtown St. Louis! This is what democracy looks like. https://t.co/mzb5xMZUKC,-1.28452129953736,1.0,0.4199,1
dhennaut,"RT @HillaryClinton: Thanks for standing, speaking &amp; marching for our values @womensmarch. Important as ever. I truly believe we're always S…",-0.22259619657501287,1.0,0.8519,1
downeymore,"RT @LacketyLac: Loving all the pics of today's #WomensMarch. To all those who have raised their voices: my support, admiration, and respect…",-0.7723173648094301,1.0,0.8779,1
invisiblemags,RT @lRONMARVEL: make human race great again #WomensMarch https://t.co/65lMEJZQGW,0.118749620162003,1.0,0.6249,1
lovehimleavehim,RT @AntonioFrench: The #WomensMarch in downtown St. Louis! This is what democracy looks like. https://t.co/mzb5xMZUKC,-0.624788391923933,1.0,0.4199,1
TaysPetSnake,RT @flo_tweet: .@womensmarch 💕✊🏻✊🏽✊🏼✊🏾✊🏿 https://t.co/Kbl51SorgN,-0.412651310521065,1.0,0.6486,1
daniipayton,RT @womensmarch: LET'S DO THIS. https://t.co/gKiunKBmUn,-0.631761242997405,,0.0,1
moecostello,My son made his own sign for the #womensmarch #donttouchmysisters @ Women's March on Chico https://t.co/83qLszU92x,-0.964126818195713,,0.0,1
Benj_oman,"RT @HillaryClinton: Thanks for standing, speaking &amp; marching for our values @womensmarch. Important as ever. I truly believe we're always S…",-1.54495228801592,1.0,0.8519,1
Jimo0nchild,"RT @394NuanceDeSev: #WomensMarch   
Harry Potter a été sauvé par plus d'une maman... Pensez-y https://t.co/1k28C1b38P",-0.4735025835884431,,0.0,1
KarenTrouble,"RT @TomiLahren: Hey marchers, ever think about this? #WomensMarch https://t.co/Rf3xpIJQi9",1.78353862104601,,0.0,0
fukuyoken3daime,RT @sethmoulton: This is massive. #WomensMarch https://t.co/ziADBHdAOW,0.430428766867152,,0.0,1
LMbabak,RT @RT_com: #WomensMarch held in Antarctica as well https://t.co/KUcAtUbQqf https://t.co/TueLQQRZfm,1.3625829948901105,1.0,0.2732,1
KyKyleigha,RT @ColleenB123: Wish I could be marching today! So proud of everyone who went! I'm with you! #WomensMarch 👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭👭,-1.07091004190152,1.0,0.8209,1
baglsdad,In awe of #WomensMarch around the world. Speechless.,-0.0060222452548934395,,0.0,1
HokieHeeled,"RT @wmata: Metro Ridership as of 11am: 275k. For comparison, that's more than 8x a normal Sat &amp; even busier than most weekdays. #wmata #wom…",-0.6756720337353371,,0.0,1
andreapestana66,RT @manon_querry: Je trouve ça bien triste qu'en 2017 les femmes soient encore obligées de descendre dans la rue pour revendiquer leurs dro…,0.223958824321204,,0.0,1
NeBonnie,#WomensMarch Go do your ridiculous marching in the Middle East!! https://t.co/N8MycxYJc0,1.59370699103634,0.0,-0.4738,0
blondedoctorj,@caitrionambalfe @womensmarch My ❤️will be there even thought I can't leave North Carolina! I'll be staffing my own medical clinic,-1.47358051965421,1.0,0.1129,1
morenovski,"RT @ellievhall: ""Boys will be good humans."" #WomensMarch https://t.co/dOxwP6yrlM",-1.79420458189969,1.0,0.4404,1
gollymsmollyy,RT @RossalynWarren: The global #WomensMarch protests have started already: here are some of the women in Brussels taking a stand. https://t…,-2.03357253037744,0.0,-0.2263,1
lparker732,RT @sukeechew: @womensmarch Thx for acknowledging @HillaryClinton's quote. Now pls #AddHerName for the 63mil ppl who voted for her. She ins…,-0.6178363508211621,1.0,0.4215,1
LaurenLeeTV,#womensmarch https://t.co/MvTNziRfvt,-0.56608576646147,,0.0,1
igotboredok,"RT @merimartusa: If you're interested in volunteering this weekend for the @womensmarch, fill out this form https://t.co/8K5vhXLM97





Otherw…",-0.907747396279974,1.0,0.4019,1
TopNotchHoochie,RT @jfuentes: Shut it down. Today's best sign (via @womensmarch). https://t.co/Bsd2128jDw,0.407605389266475,1.0,0.6369,1
OhGawd13,"RT @ifuaskmee: Our Mothers, Sisters &amp; Daughters  Mean Business! #WomensMarch #WomenWhoHaveInspiredMe #AMJoy https://t.co/6crceK4D1j",-1.4152831181283,,0.0,0
GeetaKapoor18,RT @njdotcom: What is it that you stand for? What is it you would want to say? #WomensMarch https://t.co/aVh53V6emm,0.919547063539802,1.0,0.168,0
Rikki42671156,"RT @womensmarch: We want EVERYONE who cares about women's rights to march with us on Jan. 21st. Men, let us know why you'll be marching at…",-1.7940334392839798,1.0,0.5106,0
JeanneHitchcoc2,RT @RonanLTynan: #WomensMarch biggest stand against misogyny sexual assaults racism xenophobia islamophobia (personified by #Trump) in worl…,-0.588375668614583,0.0,-0.8225,1
LMBRadio,"RT @PennyRed: I keep meeting family groups- sisters, mothers and daughters- who have travelled hundreds of miles to be together on this mar…",-2.0089480692854,,0.0,1
steph_ktbspa,RT @AntonioFrench: The #WomensMarch in downtown St. Louis! This is what democracy looks like. https://t.co/mzb5xMZUKC,-0.5432979642017021,1.0,0.4199,1
TheSignumTimes,BoingBoing: Portraits for WomensMarch on Washington by photographer claytoncubitt https://t.co/QDxC3VGvtc https://t.co/Cs2jpJTxGf,0.558490152712943,,0.0,1
swopusa,We're so thankful to @womensmarch for including #sexwork-er rights in their platform. Such an important time too! https://t.co/YretXtEWrb,-2.05207653088209,1.0,0.7257,1
GChristiemd,"@womensmarch tomorrow will protest the result of American democracy.  Oh, and maternal-feminists are NOT invited. Only radical @ppact shills",2.0256943135003502,0.0,-0.25,0
romivavi,"RT @HillaryClinton: 'Hope Not Fear'


Indeed. 


And what a beautiful piece by Louisa Cannell. 


#womensmarch 👊👊🏻👊🏼👊🏽✨ https://t.co/7h3Bzx79nB",-1.11884201972697,1.0,0.894,1
CarreOrenstein,Alright this flu isn't going to stop me I'm going to get out there today ✊ #womensmarch,-0.548881096804173,1.0,0.0742,1
2tweetaboutit,"RT @LindaSuhler: The #WomensMarch is only for liberal women.


These same ppl attack and try to silence women like me daily.


We won't be sile…",2.36503728237154,0.0,-0.1531,0
neontaster,"RT @FrankLuntz: I got red paint thrown on me and called a ""fascist MF'er"" by a protester here.





The @Marriott let it happen.


Shame on them.…",1.8013590412491998,0.0,-0.7717,0
xpaytonianx,"RT @tyleroakley: grateful for the women in my life. proud to attend the #WomensMarch at #sundance. i came to listen, learn, &amp; support. 💖 ht…",-1.31724410921752,1.0,0.9349,1
joselcastanof,"RT @almuariza: ""Queremos ser una piedra en el zapato de la administración #Trump"". #WomensMarch #MarchaMujeresUSA https://t.co/XNADqh7mYs",0.23208365026828,,0.0,1
JesseAdams_,"RT @HillaryClinton: 'Hope Not Fear'


Indeed. 


And what a beautiful piece by Louisa Cannell. 


#womensmarch 👊👊🏻👊🏼👊🏽✨ https://t.co/7h3Bzx79nB",-1.402694649984,1.0,0.894,1
DionnehillOC,RT @dmartosko: They go high? https://t.co/uCLIoDeRmM,1.90324446516743,,0.0,0
Helene_Wolters,#WomensMarch https://t.co/ELpTMmVFBK,-0.8517431176733621,,0.0,1
L_Ncetani,RT @funder: #BREAKING:Docs reveal Trump opened 32 new companies in 10 countries since Election Day #trumpleaks #theresistance #womensmarch…,0.6603416772325731,,0.0,0
paprikafaa,"RT @PrisonPlanet: Trump voting women: #WomensMarch does not represent all women. ""What rights are being taken away from any women?"" https:/…",2.14396287524387,,0.0,0
CharlesPDavis,"RT @ChadHGriffin: No matter who sits in the Oval Office, our fight for the equal dignity of all people continues! #WhyWeMarch #WomensMarch…",-0.7874758051570359,1.0,0.0818,1
sharonkaytally,"RT @ImCh1quita: Seriously - this IS how it starts.
Texas, you'd better start living up to your reputation.
#SeeMichigan https://t.co/OzoUiP…",1.95027917178763,1.0,0.296,1
iAmJo_,RT @Bey_Legion: #WomensMarch https://t.co/GZXdY2PxY5,-0.7878299976054252,,0.0,1
omarixwhite,Oh shit. https://t.co/bRbOKjL5gO,0.36550107578453295,0.0,-0.5574,1
kstew_kiki,"RT @feminizmtr_: ABD'de 100 binlerce kadının katıldığı, kadın düşmanı Trump'a karşı ""kadın yürüyüşüne"" dünyanın 637 kentinden destek geldi.…",0.349063154759339,,0.0,1
UrbnHealthNP,RT @SikhProf: Amazing to see Sikh women standing with #BlackLivesMatter at the #WomensMarch. Intersectional solidarity is real. ✊🏾✊🏿✊🏽 http…,0.31848374967521104,1.0,0.7184,1
UberGuber,RT @ActorAaronBooth: @JessikaJayne @feistybunnygirl @womensmarch need to come to their senses &amp; #AddHerName,-1.52868373226147,,0.0,1
Orchid95,THIS is the real horror. The REAL #WarOnWomen Check YOUR #privilege #WomensMarchOnWashington Love MY Country #USA https://t.co/oAy2diDySk,1.79031694675126,1.0,0.4588,1
ImAngelaDiMarco,"RT @HillaryClinton: 'Hope Not Fear'


Indeed. 


And what a beautiful piece by Louisa Cannell. 


#womensmarch 👊👊🏻👊🏼👊🏽✨ https://t.co/7h3Bzx79nB",-2.40021910065871,1.0,0.894,1
JeremiahRappel,"RT @davidcommon: City officials now estimate 500,000 will attend #WomensMarch in Washington today. https://t.co/F0Vj6dTHBx",-1.35082076046804,,0.0,1
DCCXXVIIN,RT @juliaioffe: The most powerful sign of the #WomensMarch. https://t.co/IFHea1vykN,-1.00556182468018,1.0,0.4754,1
JSoAbove,"RT @ZoloZaynZquaad: Los Angeles: 750k 


Washington DC: 500k


NYC: 500k


Chicago: 250k


Boston: 150k


Denver: 150k 





&amp; proud women all over the w…",-2.33429330851183,1.0,0.4767,1
soonerfanjps,RT @skaufman4050: Best. Sign. Ever. #WomensMarch #womensmarchnyc #sobadevenintrovertsarehere https://t.co/TmJydvooqu,0.8137643241160759,1.0,0.6369,1
tammaiya,RT @rafaelkjls: é um cartaz mais maravilhoso que o outro #WomensMarch https://t.co/tK6ZKZBfHv,-0.8139353145082009,,0.0,1
MediciSusan,"RT @lexkypolice: Lexington #WomensMarch crowd estimated at 5,000+ people.",-1.16949546810201,,0.0,1
lardarz,lol #trump https://t.co/WhdLfK3KcB,1.01132101672203,1.0,0.4215,1
bars_tatiana,"RT @Lupita_Nyongo: Women's rights = human rights. #WhyIMarch @womensmarch 21st January, 2017 https://t.co/HeGtPM34t1",-1.47607020713661,,0.0,1
JerseyStrong11,"We got your back, just get better! 🙏 https://t.co/6LX2emRf1v",-2.07904177335316,1.0,0.4926,1
jbgirl97,RT @womensmarchla: 750k humans stand together. We cannot be denied. #WomensMarch https://t.co/FPT3zMA2Xv,-1.4143393966782,1.0,0.3412,1
geeky_hooker,RT @dallasgoldtooth: #indigenouswomenrise rounddance before the #WomensMarch on DC. #IndigenousRising https://t.co/ZJpb11J6BR,-1.2959807881720602,,0.0,1
TedBaxter4trump,@womensmarch is there a route planned out yet?,-1.0182977309004,,0.0,0
MitchBeeee,"RT @bessbell: .@realDonaldTrump I explained it's just your inability to cope with your torturous insecurity and she felt very sorry, dear.…",-1.71444085927319,0.0,-0.8687,1
yourBFFkevin,RT @SikhProf: Sikhs around the US spent the day supporting women's rights and offering free food. These are our traditions! #WomensMarch ht…,-1.17040172179516,1.0,0.7574,1
Woodenmattress,RT @Alyssa_Milano: #WomensMarch https://t.co/amusqKyfdN,-0.913089985649916,,0.0,1
